bank_name,report_year,metric_name,value,raw_value,value_units,value_currency,value_kind,source_page,source_term_used,source_coordinates,snippet_path,is_validated
nab,,net_interest_income,16757.0,"16,757",,,amount,114,Net interest income,"{'term_bbox': {'x0': 62.362, 'top': 143.58977000000004, 'x1': 132.78850000000003, 'bottom': 150.83977000000004}}",backend/qc_snippets/NAB_FY24_Annual_Report_net_interest_income.png,False
nab,,operating_income,20646.0,"20,646",,,amount,115,Operating income,"{'term_bbox': {'x0': 63.232749999999996, 'top': 169.10177, 'x1': 128.30155075000002, 'bottom': 176.35177}}",backend/qc_snippets/NAB_FY24_Annual_Report_operating_income.png,False
nab,,operating_expenses,2024.0,2024.,,,amount,17,Expenses,"{'term_bbox': {'x0': 348.3088, 'top': 329.76657, 'x1': 386.1328, 'bottom': 337.76656999999994}}",backend/qc_snippets/NAB_FY24_Annual_Report_operating_expenses.png,False
nab,,total_assets,1080248.0,"1,080,248",,,amount,116,Total assets,"{'term_bbox': {'x0': 62.362, 'top': 345.48777, 'x1': 106.96405075, 'bottom': 352.73777}}",backend/qc_snippets/NAB_FY24_Annual_Report_total_assets.png,False
nab,,total_liabilities,2024000000.0,2024,millions,USD,amount,116,Total liabilities,"{'term_bbox': {'x0': 311.8107, 'top': 202.9283700000001, 'x1': 366.5627, 'bottom': 210.9283700000001}}",backend/qc_snippets/NAB_FY24_Annual_Report_total_liabilities.png,False
nab,,total_equity,62213.0,"62,213",,,amount,116,Total equity,"{'term_bbox': {'x0': 62.362, 'top': 485.80277, 'x1': 105.40525000000001, 'bottom': 493.05277}}",backend/qc_snippets/NAB_FY24_Annual_Report_total_equity.png,False
nab,,customer_deposits,12000000000.0,12,billions,USD,amount,14,Customer deposits,"{'term_bbox': {'x0': 109.0271, 'top': 498.72326999999996, 'x1': 182.2991, 'bottom': 506.72326999999996}}",backend/qc_snippets/NAB_FY24_Annual_Report_customer_deposits.png,False
nab,,loans_and_advances,260.0,$260,%,USD,amount,9,Loans and advances,"{'term_bbox': {'x0': 151.43215610648014, 'top': 630.58644137096, 'x1': 208.49421321048015, 'bottom': 636.3292093709599}}",backend/qc_snippets/NAB_FY24_Annual_Report_loans_and_advances.png,False
nab,,nim,169.0,169,,,ratio,114,Net interest margin,"{'term_bbox': {'x0': 62.363000000000056, 'top': 460.07376999999997, 'x1': 130.33905075000007, 'bottom': 467.32376999999997}}",backend/qc_snippets/NAB_FY24_Annual_Report_nim.png,False
nab,,roe,1.0,1,,,ratio,9,Return on equity,"{'term_bbox': {'x0': 421.7423316104799, 'top': 129.95585533095993, 'x1': 482.5773872904799, 'bottom': 137.61287933096003}}",backend/qc_snippets/NAB_FY24_Annual_Report_roe.png,False
nab,,cet1_ratio,1.0,1,%,USD,ratio,118,CET1 ratio,"{'term_bbox': {'x0': 145.34860000000003, 'top': 294.32167000000004, 'x1': 182.18860000000004, 'bottom': 302.32167000000004}}",backend/qc_snippets/NAB_FY24_Annual_Report_cet1_ratio.png,False
nab,,lcr,2024000000000.0,2024,billions,USD,ratio,18,LCR,"{'term_bbox': {'x0': 81.13210000000001, 'top': 253.16027000000008, 'x1': 94.7001, 'bottom': 261.1602700000001}}",backend/qc_snippets/NAB_FY24_Annual_Report_lcr.png,False
